case_id,eye_id,mode,wavelength_nm,source_demand_D,source_distance_mm,effective_focal_length_mm,axial_length_mm,image_index,reduced_retina_distance_mm,target_diameter_mm,pupil_diameter_mm,external_lens_power_D,external_lens_vertex_distance_mm,conservative_source_diameter_mm,source_mapping_coefficient,pupil_mapping_coefficient,input_sha256
chickm30m45d_baseline_f7p5_a11p7_p2_d60_x0_48566da0e7,chick_30_45d,baseline,650,60,16.666666666666668,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,7.0712250712250722,-0.52544910179640714,0.35778443113772451,48566da0e76b79e16bf692e25fb117b1f237734caafe296ee0a766d7a76c33a4
chickm30m45d_baseline_f7p5_a11p7_p2_d70_x0_f695d7289f,chick_30_45d,baseline,650,70,14.285714285714286,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,6.3467643467643473,-0.61302395209580829,0.44535928143712578,f695d7289fed27a3b297a6f67a6989987b5c6d23e7e780daf233313f4761ef9c
chickm30m45d_baseline_f7p5_a11p7_p2_d80_x0_b7fca2704a,chick_30_45d,baseline,650,80,12.5,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,5.8034188034188041,-0.70059880239520944,0.53293413173652682,b7fca2704a63e55e224b8d4d74579f5efa584c8c22cb3b548cf2658163170005
chickm30m45d_baseline_f7p5_a11p7_p2_d90_x0_4322773231,chick_30_45d,baseline,650,90,11.111111111111111,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,5.3808167141500487,-0.78817365269461059,0.62050898203592808,432277323143e1cdac07707276a6e6065042e5e672f8c1979cbed13e6c2f0fdf
chickm30m45d_baseline_f7p5_a11p7_p2_d100_x0_bad5598589,chick_30_45d,baseline,650,100,10,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,5.0427350427350435,-0.87574850299401175,0.70808383233532923,bad5598589cfc6be4088fbaa18b117771d6d97103e0d279c808a00f4fb8ad8d3
chickm30m45d_baseline_f7p5_a11p7_p2_d110_x0_3373cfa4fc,chick_30_45d,baseline,650,110,9.0909090909090917,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,4.7661227661227672,-0.96332335329341312,0.7956586826347305,3373cfa4fc3d964916eafe9342633a2897be779218f1e3407e0f34586b66acf3
chickm30m45d_baseline_f7p5_a11p7_p2_d120_x0_f6b56ebd27,chick_30_45d,baseline,650,120,8.3333333333333339,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2,0,5,4.535612535612537,-1.0508982035928143,0.88323353293413165,f6b56ebd27388c60490fccbe758d2664c6b936f6bd934efa44b100f5875659bf
chickm30m45d_baseline_f7p5_a11p7_p2p5_d60_x0_00e3ff342c,chick_30_45d,baseline,650,60,16.666666666666668,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,7.4116809116809126,-0.52544910179640714,0.35778443113772451,00e3ff342c86332a747aa6594e1921ee857ba35ec88f8e0686417562fad0d405
chickm30m45d_baseline_f7p5_a11p7_p2p5_d70_x0_c2a94fe8ec,chick_30_45d,baseline,650,70,14.285714285714286,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,6.710012210012211,-0.61302395209580829,0.44535928143712578,c2a94fe8ecaf190f5c848cd1c58620e6af2ee5c926b9699771dcfc15a420bd87
chickm30m45d_baseline_f7p5_a11p7_p2p5_d80_x0_d9a33bb696,chick_30_45d,baseline,650,80,12.5,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,6.183760683760684,-0.70059880239520944,0.53293413173652682,d9a33bb6962baff9871780ac41463d8922127a55bccaf83ac9f8910d337ee0d5
chickm30m45d_baseline_f7p5_a11p7_p2p5_d90_x0_52e3c6096c,chick_30_45d,baseline,650,90,11.111111111111111,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,5.7744539411206093,-0.78817365269461059,0.62050898203592808,52e3c6096c253f71345cbf1fb113522b56acdb54af7aba8a453408719f7fb206
chickm30m45d_baseline_f7p5_a11p7_p2p5_d100_x0_52a7aff55b,chick_30_45d,baseline,650,100,10,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,5.4470085470085472,-0.87574850299401175,0.70808383233532923,52a7aff55b0488216e7c8085b4365bad63ce6e26b3f5e4649df872ce913aca5d
chickm30m45d_baseline_f7p5_a11p7_p2p5_d110_x0_cfd7b110f4,chick_30_45d,baseline,650,110,9.0909090909090917,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,5.1790986790986793,-0.96332335329341312,0.7956586826347305,cfd7b110f45c19c02e548b8d16cd712030ec8134d25fc89277a348362f084842
chickm30m45d_baseline_f7p5_a11p7_p2p5_d120_x0_50033c0d5c,chick_30_45d,baseline,650,120,8.3333333333333339,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,2.5,0,5,4.9558404558404572,-1.0508982035928143,0.88323353293413165,50033c0d5c112a997de0dc4fc808f74362f1f60a3c9c34cd83abee7a83cf8469
chickm30m45d_baseline_f7p5_a11p7_p3_d60_x0_69c9cee4f0,chick_30_45d,baseline,650,60,16.666666666666668,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,7.7521367521367539,-0.52544910179640714,0.35778443113772451,69c9cee4f0bded163f31989ce4bbe459181a48ef314a5304ccc1862c6f7ad8bd
chickm30m45d_baseline_f7p5_a11p7_p3_d70_x0_ccfe7c5273,chick_30_45d,baseline,650,70,14.285714285714286,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,7.0732600732600748,-0.61302395209580829,0.44535928143712578,ccfe7c5273a811f4c7f6f1de9ddab4cfb08e796c4be51e85f038f94b55786a5e
chickm30m45d_baseline_f7p5_a11p7_p3_d80_x0_4cf7815d78,chick_30_45d,baseline,650,80,12.5,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,6.5641025641025648,-0.70059880239520944,0.53293413173652682,4cf7815d78da75c480c3a2372aa170a113c21091812818984957458ffb3d6486
chickm30m45d_baseline_f7p5_a11p7_p3_d90_x0_02bae7857a,chick_30_45d,baseline,650,90,11.111111111111111,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,6.168091168091169,-0.78817365269461059,0.62050898203592808,02bae7857a53553b192a01130a4283d85cc08eb0578c6eb00db6724e668175dc
chickm30m45d_baseline_f7p5_a11p7_p3_d100_x0_c8d6080e83,chick_30_45d,baseline,650,100,10,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,5.8512820512820536,-0.87574850299401175,0.70808383233532923,c8d6080e834abc22044c562c4cbbc8e15c08cbcc1c183ebef2f9e0682c048e02
chickm30m45d_baseline_f7p5_a11p7_p3_d110_x0_cd04fe16c9,chick_30_45d,baseline,650,110,9.0909090909090917,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,5.5920745920745922,-0.96332335329341312,0.7956586826347305,cd04fe16c986e2f5cf23bd501b72570c956a0ffa0245fa0e3a5d99a644691ac6
chickm30m45d_baseline_f7p5_a11p7_p3_d120_x0_97f8fc26f2,chick_30_45d,baseline,650,120,8.3333333333333339,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3,0,5,5.3760683760683765,-1.0508982035928143,0.88323353293413165,97f8fc26f2d81cd55227fe88c6f39cca637e60f66f198fa3549f1c73d84cde55
chickm30m45d_baseline_f7p5_a11p7_p3p5_d60_x0_282eb7d7af,chick_30_45d,baseline,650,60,16.666666666666668,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3.5,0,5,8.0925925925925934,-0.52544910179640714,0.35778443113772451,282eb7d7af815d10dbf9b137643055b21cd404516049874a20926ccdc2bbc851
chickm30m45d_baseline_f7p5_a11p7_p3p5_d70_x0_050e456459,chick_30_45d,baseline,650,70,14.285714285714286,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3.5,0,5,7.4365079365079376,-0.61302395209580829,0.44535928143712578,050e45645955f1d5fe29299d432dc75c0e19d8a12a99fad3b9a964f6c8a95775
chickm30m45d_baseline_f7p5_a11p7_p3p5_d80_x0_52a62b859e,chick_30_45d,baseline,650,80,12.5,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3.5,0,5,6.9444444444444455,-0.70059880239520944,0.53293413173652682,52a62b859eea6e89af89fa411a1e89ce5c03c8bcf2574f366e993463006ba1e7
chickm30m45d_baseline_f7p5_a11p7_p3p5_d90_x0_31c2953a82,chick_30_45d,baseline,650,90,11.111111111111111,7.5,11.699999999999999,1.3360000000000001,8.7574850299401188,3,3.5,0,5,6.5617283950617296,-0.78817365269461059,0.62050898203592808,31c2953a82d4bd769fec88ebd1f5e31aa9c8d69971618e92cbb0e682a25421c7
