case_id,input_sha256,expected_min_y_mm,expected_max_y_mm,expected_valid_rays,boundary_tolerance_um
chickm30m45d_baseline_f7p5_a11p7_p2_d60_x0_48566da0e7,48566da0e76b79e16bf692e25fb117b1f237734caafe296ee0a766d7a76c33a4,-2.2119910179640718,2.2119910179640718,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p2_d70_x0_f695d7289f,f695d7289fed27a3b297a6f67a6989987b5c6d23e7e780daf233313f4761ef9c,-2.3862649700598801,2.3862649700598801,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p2_d80_x0_b7fca2704a,b7fca2704a63e55e224b8d4d74579f5efa584c8c22cb3b548cf2658163170005,-2.560538922155688,2.560538922155688,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p2_d90_x0_4322773231,432277323143e1cdac07707276a6e6065042e5e672f8c1979cbed13e6c2f0fdf,-2.7348128742514968,2.7348128742514968,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p2_d100_x0_bad5598589,bad5598589cfc6be4088fbaa18b117771d6d97103e0d279c808a00f4fb8ad8d3,-2.9090868263473046,2.9090868263473046,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p2_d110_x0_3373cfa4fc,3373cfa4fc3d964916eafe9342633a2897be779218f1e3407e0f34586b66acf3,-3.0833607784431143,3.0833607784431143,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p2_d120_x0_f6b56ebd27,f6b56ebd27388c60490fccbe758d2664c6b936f6bd934efa44b100f5875659bf,-3.2576347305389222,3.2576347305389222,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p2p5_d60_x0_00e3ff342c,00e3ff342c86332a747aa6594e1921ee857ba35ec88f8e0686417562fad0d405,-2.3899887724550899,2.3899887724550899,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p2p5_d70_x0_c2a94fe8ec,c2a94fe8ecaf190f5c848cd1c58620e6af2ee5c926b9699771dcfc15a420bd87,-2.6078312125748506,2.6078312125748506,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p2p5_d80_x0_d9a33bb696,d9a33bb6962baff9871780ac41463d8922127a55bccaf83ac9f8910d337ee0d5,-2.82567365269461,2.82567365269461,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p2p5_d90_x0_52e3c6096c,52e3c6096c253f71345cbf1fb113522b56acdb54af7aba8a453408719f7fb206,-3.0435160928143707,3.0435160928143707,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p2p5_d100_x0_52a7aff55b,52a7aff55b0488216e7c8085b4365bad63ce6e26b3f5e4649df872ce913aca5d,-3.261358532934131,3.261358532934131,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p2p5_d110_x0_cfd7b110f4,cfd7b110f45c19c02e548b8d16cd712030ec8134d25fc89277a348362f084842,-3.4792009730538922,3.4792009730538922,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p2p5_d120_x0_50033c0d5c,50033c0d5c112a997de0dc4fc808f74362f1f60a3c9c34cd83abee7a83cf8469,-3.6970434131736534,3.6970434131736534,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p3_d60_x0_69c9cee4f0,69c9cee4f0bded163f31989ce4bbe459181a48ef314a5304ccc1862c6f7ad8bd,-2.5679865269461075,2.5679865269461075,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p3_d70_x0_ccfe7c5273,ccfe7c5273a811f4c7f6f1de9ddab4cfb08e796c4be51e85f038f94b55786a5e,-2.8293974550898207,2.8293974550898207,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p3_d80_x0_4cf7815d78,4cf7815d78da75c480c3a2372aa170a113c21091812818984957458ffb3d6486,-3.0908083832335329,3.0908083832335329,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p3_d90_x0_02bae7857a,02bae7857a53553b192a01130a4283d85cc08eb0578c6eb00db6724e668175dc,-3.3522193113772452,3.3522193113772452,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p3_d100_x0_c8d6080e83,c8d6080e834abc22044c562c4cbbc8e15c08cbcc1c183ebef2f9e0682c048e02,-3.6136302395209583,3.6136302395209583,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p3_d110_x0_cd04fe16c9,cd04fe16c986e2f5cf23bd501b72570c956a0ffa0245fa0e3a5d99a644691ac6,-3.8750411676646705,3.8750411676646705,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p3_d120_x0_97f8fc26f2,97f8fc26f2d81cd55227fe88c6f39cca637e60f66f198fa3549f1c73d84cde55,-4.1364520958083837,4.1364520958083837,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p3p5_d60_x0_282eb7d7af,282eb7d7af815d10dbf9b137643055b21cd404516049874a20926ccdc2bbc851,-2.745984281437126,2.745984281437126,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p3p5_d70_x0_050e456459,050e45645955f1d5fe29299d432dc75c0e19d8a12a99fad3b9a964f6c8a95775,-3.0509636976047902,3.0509636976047902,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p3p5_d80_x0_52a62b859e,52a62b859eea6e89af89fa411a1e89ce5c03c8bcf2574f366e993463006ba1e7,-3.3559431137724545,3.3559431137724545,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p3p5_d90_x0_31c2953a82,31c2953a82d4bd769fec88ebd1f5e31aa9c8d69971618e92cbb0e682a25421c7,-3.6609225299401196,3.6609225299401196,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p3p5_d100_x0_0457aef95a,0457aef95a6f5927b6f2a776a09117e9132678d4a49cde71008a471e0b0794f2,-3.9659019461077838,3.9659019461077838,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p3p5_d110_x0_3594038759,35940387594ad54dae68b7ed9fdddfc297c1c656ea3e9a0182db74f3b9fa18f6,-4.2708813622754489,4.2708813622754489,4,0.00001
chickm30m45d_baseline_f7p5_a11p7_p3p5_d120_x0_4ab466f660,4ab466f6607468dbfe09c85775a277bfd3bebca422f9bdf5acef65f3fc041cd2,-4.5758607784431131,4.5758607784431131,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2_d60_x0_ca136e7c5e,ca136e7c5e0f3e6cd5f03ee1b5d44f87dbcc80b5ba0c5e2d93d0fcb5430ccbbf,-2.3572193113772455,2.3572193113772455,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2_d70_x0_47ad512c13,47ad512c13d476f0626f566d02b7f57ed9c7286549de66528ea13f756de29388,-2.5314932634730538,2.5314932634730538,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2_d80_x0_b8dafc6d03,b8dafc6d030d7b7ca2e80bb7cb3ce1a6b0fbfd4677d2c675f030c456af1172b7,-2.7057672155688621,2.7057672155688621,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2_d90_x0_f4adf1ab37,f4adf1ab379ca054aaab80abcb166aecc8a20487b2333227cac5a96bbe0b2706,-2.8800411676646709,2.8800411676646709,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2_d100_x0_7750209baf,7750209baf4854e44c2f45b38284ce27688d635c1a65c6467e0e267206499da5,-3.0543151197604788,3.0543151197604788,4,0.00001
chickm30m45d_baseline_f8_a11p7_p2_d110_x0_30103ff2c1,30103ff2c1341520679fe4a98aab38c77ac2a12a489e6e366b892febd770b176,-3.2285890718562875,3.2285890718562875,4,0.00001
