eye_id,eye_label,reference_focal_length_mm,pupil_diameter_mm,axial_length_mm,axial_delta_mm,equivalent_defocus_D,blur_diameter_mm
chick_30_45d,30–45 day chick,8.5,2,10.5,-1.2,12.43188364,0.2113420218
chick_30_45d,30–45 day chick,8.5,2,11.7,0,-0,0
chick_30_45d,30–45 day chick,8.5,2,12.5,0.8,-8.287922425,0.1408946812
chick_30_45d,30–45 day chick,8.5,2.5,10.5,-1.2,12.43188364,0.2641775273
chick_30_45d,30–45 day chick,8.5,2.5,11.7,0,-0,0
chick_30_45d,30–45 day chick,8.5,2.5,12.5,0.8,-8.287922425,0.1761183515
chick_30_45d,30–45 day chick,8.5,3,10.5,-1.2,12.43188364,0.3170130328
chick_30_45d,30–45 day chick,8.5,3,11.7,0,-0,0
chick_30_45d,30–45 day chick,8.5,3,12.5,0.8,-8.287922425,0.2113420218
chick_30_45d,30–45 day chick,8.5,3.5,10.5,-1.2,12.43188364,0.3698485382
chick_30_45d,30–45 day chick,8.5,3.5,11.7,0,-0,0
chick_30_45d,30–45 day chick,8.5,3.5,12.5,0.8,-8.287922425,0.2465656921
child_6y,6-year-old child,16.7,2,22.5,-0.5,1.341932292,0.04482053856
child_6y,6-year-old child,16.7,2,23,0,-0,0
child_6y,6-year-old child,16.7,2,23.5,0.5,-1.341932292,0.04482053856
child_6y,6-year-old child,16.7,3,22.5,-0.5,1.341932292,0.06723080785
child_6y,6-year-old child,16.7,3,23,0,-0,0
child_6y,6-year-old child,16.7,3,23.5,0.5,-1.341932292,0.06723080785
child_6y,6-year-old child,16.7,4,22.5,-0.5,1.341932292,0.08964107713
child_6y,6-year-old child,16.7,4,23,0,-0,0
child_6y,6-year-old child,16.7,4,23.5,0.5,-1.341932292,0.08964107713
child_6y,6-year-old child,16.7,5,22.5,-0.5,1.341932292,0.1120513464
child_6y,6-year-old child,16.7,5,23,0,-0,0
child_6y,6-year-old child,16.7,5,23.5,0.5,-1.341932292,0.1120513464
adult_18y,18-year-old adult,16.7,2,23.1,-0.5,1.341932292,0.04482053856
adult_18y,18-year-old adult,16.7,2,23.6,0,-0,0
adult_18y,18-year-old adult,16.7,2,24.1,0.5,-1.341932292,0.04482053856
adult_18y,18-year-old adult,16.7,3,23.1,-0.5,1.341932292,0.06723080785
adult_18y,18-year-old adult,16.7,3,23.6,0,-0,0
adult_18y,18-year-old adult,16.7,3,24.1,0.5,-1.341932292,0.06723080785
adult_18y,18-year-old adult,16.7,4,23.1,-0.5,1.341932292,0.08964107713
adult_18y,18-year-old adult,16.7,4,23.6,0,-0,0
adult_18y,18-year-old adult,16.7,4,24.1,0.5,-1.341932292,0.08964107713
adult_18y,18-year-old adult,16.7,5,23.1,-0.5,1.341932292,0.1120513464
adult_18y,18-year-old adult,16.7,5,23.6,0,-0,0
adult_18y,18-year-old adult,16.7,5,24.1,0.5,-1.341932292,0.1120513464
