eye_id,eye_label,reference_focal_length_mm,pupil_diameter_mm,defocus_D,blur_diameter_mm,geometric_min_angular_diameter_deg,uniform_conservative_angular_diameter_deg
chick_30_45d,30–45 day chick,8.5,2,-10,0.1751497006,18.4815617,20.77339288
chick_30_45d,30–45 day chick,8.5,2,-5,0.0875748503,19.05451949,20.20043508
chick_30_45d,30–45 day chick,8.5,2,0,0,19.62747729,19.62747729
chick_30_45d,30–45 day chick,8.5,2,2,0.03502994012,19.39829417,19.85666041
chick_30_45d,30–45 day chick,8.5,2,5,0.0875748503,19.05451949,20.20043508
chick_30_45d,30–45 day chick,8.5,2,10,0.1751497006,18.4815617,20.77339288
chick_30_45d,30–45 day chick,8.5,2,15,0.2627245509,17.9086039,21.34635068
chick_30_45d,30–45 day chick,8.5,2,20,0.3502994012,17.33564611,21.91930847
chick_30_45d,30–45 day chick,8.5,2.5,-10,0.2189371257,18.1950828,21.05987178
chick_30_45d,30–45 day chick,8.5,2.5,-5,0.1094685629,18.91128005,20.34367453
chick_30_45d,30–45 day chick,8.5,2.5,0,0,19.62747729,19.62747729
chick_30_45d,30–45 day chick,8.5,2.5,2,0.04378742515,19.34099839,19.91395619
chick_30_45d,30–45 day chick,8.5,2.5,5,0.1094685629,18.91128005,20.34367453
chick_30_45d,30–45 day chick,8.5,2.5,10,0.2189371257,18.1950828,21.05987178
chick_30_45d,30–45 day chick,8.5,2.5,15,0.3284056886,17.47888556,21.77606902
chick_30_45d,30–45 day chick,8.5,2.5,20,0.4378742515,16.76268831,22.49226627
chick_30_45d,30–45 day chick,8.5,3,-10,0.2627245509,17.9086039,21.34635068
chick_30_45d,30–45 day chick,8.5,3,-5,0.1313622754,18.7680406,20.48691398
chick_30_45d,30–45 day chick,8.5,3,0,0,19.62747729,19.62747729
chick_30_45d,30–45 day chick,8.5,3,2,0.05254491018,19.28370261,19.97125197
chick_30_45d,30–45 day chick,8.5,3,5,0.1313622754,18.7680406,20.48691398
chick_30_45d,30–45 day chick,8.5,3,10,0.2627245509,17.9086039,21.34635068
chick_30_45d,30–45 day chick,8.5,3,15,0.3940868263,17.04916721,22.20578737
chick_30_45d,30–45 day chick,8.5,3,20,0.5254491018,16.18973052,23.06522406
chick_30_45d,30–45 day chick,8.5,3.5,-10,0.306511976,17.62212501,21.63282957
chick_30_45d,30–45 day chick,8.5,3.5,-5,0.153255988,18.62480115,20.63015343
chick_30_45d,30–45 day chick,8.5,3.5,0,0,19.62747729,19.62747729
chick_30_45d,30–45 day chick,8.5,3.5,2,0.06130239521,19.22640683,20.02854775
chick_30_45d,30–45 day chick,8.5,3.5,5,0.153255988,18.62480115,20.63015343
chick_30_45d,30–45 day chick,8.5,3.5,10,0.306511976,17.62212501,21.63282957
chick_30_45d,30–45 day chick,8.5,3.5,15,0.4597679641,16.61944887,22.63550571
chick_30_45d,30–45 day chick,8.5,3.5,20,0.6130239521,15.61677272,23.63818186
child_6y,6-year-old child,16.7,2,-10,0.3443113772,18.82290913,21.11474031
child_6y,6-year-old child,16.7,2,-5,0.1721556886,19.39586693,20.54178252
child_6y,6-year-old child,16.7,2,0,0,19.96882472,19.96882472
child_6y,6-year-old child,16.7,2,2,0.06886227545,19.7396416,20.19800784
child_6y,6-year-old child,16.7,2,5,0.1721556886,19.39586693,20.54178252
child_6y,6-year-old child,16.7,2,10,0.3443113772,18.82290913,21.11474031
child_6y,6-year-old child,16.7,2,15,0.5164670659,18.24995134,21.68769811
child_6y,6-year-old child,16.7,2,20,0.6886227545,17.67699354,22.2606559
