eye_id,eye_label,source_demand_D,source_distance_mm,external_lens_D,vertex_distance_mm,sweep_role,pupil_independence_note,accommodation_D,eye_power_D,magnification,source_diameter_mm,source_area_mm2,feasible_accommodation,imaging_B_residual_m
chick_30_45d,30–45 day chick,10,100,0,5,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,10,129.04762,-0.084,35.714286,1001.7834,True,-5.2041704e-18
chick_30_45d,30–45 day chick,10,100,-1,5,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,10.898233,129.94585,-0.083602886,35.883929,1011.3229,True,-1.4084262e-17
chick_30_45d,30–45 day chick,10,100,-3,5,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,12.66946,131.71708,-0.082819818,36.223214,1030.5376,True,-2.2236935e-18
chick_30_45d,30–45 day chick,10,100,-5,5,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,14.407814,133.45543,-0.082051282,36.5625,1049.9332,True,-9.5755348e-18
chick_30_45d,30–45 day chick,10,100,-10,5,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,18.615752,137.66337,-0.080190931,37.410714,1099.2131,False,6.7393313e-18
chick_30_45d,30–45 day chick,10,100,-15,5,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,22.637106,141.68473,-0.078413069,38.258929,1149.6231,False,-4.7013782e-18
chick_30_45d,30–45 day chick,10,100,-20,5,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,26.484018,145.53164,-0.076712329,39.107143,1201.1633,False,-1.4276913e-17
child_6y,6-year-old child,10,100,0,12,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,10,69.88024,-0.167,35.928144,1013.8167,True,0
child_6y,6-year-old child,10,100,-1,12,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,10.766308,70.646547,-0.16525491,36.307545,1035.3416,True,6.7453598e-18
child_6y,6-year-old child,10,100,-3,12,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,12.251861,72.132101,-0.1618719,37.066347,1079.0696,True,2.6501468e-18
child_6y,6-year-old child,10,100,-5,12,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,13.677812,73.558051,-0.15862462,37.82515,1123.7021,True,2.0243807e-18
child_6y,6-year-old child,10,100,-10,12,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,17.004342,76.884581,-0.1510492,39.722156,1239.2402,True,1.46958e-17
child_6y,6-year-old child,10,100,-15,12,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,20.027624,79.907864,-0.14416436,41.619162,1360.4311,True,3.0810909e-18
child_6y,6-year-old child,10,100,-20,12,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,22.787318,82.667558,-0.13787979,43.516168,1487.2746,False,1.6360246e-18
adult_18y,18-year-old adult,10,100,0,12,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,10,69.88024,-0.167,35.928144,1013.8167,True,0
adult_18y,18-year-old adult,10,100,-1,12,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,10.766308,70.646547,-0.16525491,36.307545,1035.3416,True,6.7453598e-18
adult_18y,18-year-old adult,10,100,-3,12,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,12.251861,72.132101,-0.1618719,37.066347,1079.0696,True,2.6501468e-18
adult_18y,18-year-old adult,10,100,-5,12,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,13.677812,73.558051,-0.15862462,37.82515,1123.7021,True,2.0243807e-18
adult_18y,18-year-old adult,10,100,-10,12,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,17.004342,76.884581,-0.1510492,39.722156,1239.2402,True,1.46958e-17
adult_18y,18-year-old adult,10,100,-15,12,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,20.027624,79.907864,-0.14416436,41.619162,1360.4311,False,3.0810909e-18
adult_18y,18-year-old adult,10,100,-20,12,external_lens_reference_10D,Paraxial in-focus image size is independent of pupil diameter,22.787318,82.667558,-0.13787979,43.516168,1487.2746,False,1.6360246e-18
