eye_id,eye_label,source_demand_D,source_distance_mm,external_lens_D,vertex_distance_mm,sweep_role,pupil_independence_note,accommodation_D,eye_power_D,magnification,source_diameter_mm,source_area_mm2,feasible_accommodation,imaging_B_residual_m
chick_30_45d,30–45 day chick,60,16.666667,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,60,179.04762,-0.504,5.952381,27.827316,False,0
chick_30_45d,30–45 day chick,70,14.285714,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,70,189.04762,-0.588,5.1020408,20.444559,False,-1.7347235e-18
chick_30_45d,30–45 day chick,80,12.5,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,80,199.04762,-0.672,4.4642857,15.652865,False,-1.7347235e-18
chick_30_45d,30–45 day chick,90,11.111111,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,90,209.04762,-0.756,3.968254,12.367696,False,0
chick_30_45d,30–45 day chick,100,10,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,100,219.04762,-0.84,3.5714286,10.017834,False,-1.7347235e-18
chick_30_45d,30–45 day chick,110,9.0909091,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,110,229.04762,-0.924,3.2467532,8.2792014,False,0
chick_30_45d,30–45 day chick,120,8.3333333,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,120,239.04762,-1.008,2.9761905,6.956829,False,0
child_6y,6-year-old child,60,16.666667,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,60,119.88024,-1.002,5.988024,28.161575,False,0
child_6y,6-year-old child,70,14.285714,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,70,129.88024,-1.169,5.132592,20.690137,False,3.469447e-18
child_6y,6-year-old child,80,12.5,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,80,139.88024,-1.336,4.491018,15.840886,False,3.469447e-18
child_6y,6-year-old child,90,11.111111,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,90,149.88024,-1.503,3.992016,12.516256,False,3.469447e-18
child_6y,6-year-old child,100,10,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,100,159.88024,-1.67,3.5928144,10.138167,False,3.469447e-18
child_6y,6-year-old child,110,9.0909091,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,110,169.88024,-1.837,3.2661949,8.3786504,False,3.469447e-18
child_6y,6-year-old child,120,8.3333333,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,120,179.88024,-2.004,2.994012,7.0403937,False,3.469447e-18
adult_18y,18-year-old adult,60,16.666667,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,60,119.88024,-1.002,5.988024,28.161575,False,0
adult_18y,18-year-old adult,70,14.285714,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,70,129.88024,-1.169,5.132592,20.690137,False,3.469447e-18
adult_18y,18-year-old adult,80,12.5,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,80,139.88024,-1.336,4.491018,15.840886,False,3.469447e-18
adult_18y,18-year-old adult,90,11.111111,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,90,149.88024,-1.503,3.992016,12.516256,False,3.469447e-18
adult_18y,18-year-old adult,100,10,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,100,159.88024,-1.67,3.5928144,10.138167,False,3.469447e-18
adult_18y,18-year-old adult,110,9.0909091,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,110,169.88024,-1.837,3.2661949,8.3786504,False,3.469447e-18
adult_18y,18-year-old adult,120,8.3333333,0,0,requested_60_120D_no_external_lens,Paraxial in-focus image size is independent of pupil diameter,120,179.88024,-2.004,2.994012,7.0403937,False,3.469447e-18
