eye_id,eye_label,source_demand_D,source_distance_mm,posterior_pole_diameter_mm,reported_axial_length_mm,image_medium_refractive_index,external_lens_D,sweep_role,fixed_focal_length_mm,fixed_eye_power_D,pupil_diameter_mm,reduced_retina_distance_mm,focus_object_demand_D,retinal_defocus_D,source_mapping_coefficient,pupil_mapping_coefficient,pupil_blur_diameter_mm,geometric_min_source_diameter_mm,geometric_min_source_area_mm2,conservative_source_diameter_mm,conservative_source_area_mm2,geometric_coverage_margin_um,conservative_plateau_margin_um,pupil_blur_alone_covers_target
chick_30_45d,30–45 day chick,60,16.66666667,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3.5,8.75748503,19.14529915,40.85470085,-0.5254491018,0.3577844311,1.252245509,3.326210826,8.689392743,8.092592593,51.43576882,0,0,False
chick_30_45d,30–45 day chick,70,14.28571429,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3.5,8.75748503,19.14529915,50.85470085,-0.6130239521,0.4453592814,1.558757485,2.351037851,4.341193297,7.436507937,43.43381457,0,-2.168404345e-13,False
chick_30_45d,30–45 day chick,80,12.5,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3.5,8.75748503,19.14529915,60.85470085,-0.7005988024,0.5329341317,1.865269461,1.61965812,2.060329052,6.944444444,37.87606884,0,2.168404345e-13,False
chick_30_45d,30–45 day chick,90,11.11111111,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3.5,8.75748503,19.14529915,70.85470085,-0.7881736527,0.620508982,2.171781437,1.050807217,0.8672333599,6.561728395,33.81632287,0,0,False
chick_30_45d,30–45 day chick,100,10,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3.5,8.75748503,19.14529915,80.85470085,-0.875748503,0.7080838323,2.478293413,0.5957264957,0.2787299995,6.255555556,30.73418154,0,-2.168404345e-13,False
chick_30_45d,30–45 day chick,110,9.090909091,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3.5,8.75748503,19.14529915,90.85470085,-0.9633233533,0.7956586826,2.784805389,0.2233877234,0.03919299802,6.005050505,28.3219538,0,-2.168404345e-13,False
chick_30_45d,30–45 day chick,120,8.333333333,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,7.5,133.3333333,3.5,8.75748503,19.14529915,100.8547009,-1.050898204,0.8832335329,3.091317365,0,0,5.796296296,26.38706196,45.65868263,2.168404345e-13,True
chick_30_45d,30–45 day chick,60,16.66666667,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3.5,8.75748503,10.81196581,49.18803419,-0.5254491018,0.4307634731,1.507672156,2.840099715,6.33515227,8.578703704,57.80071593,0,0,False
chick_30_45d,30–45 day chick,70,14.28571429,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3.5,8.75748503,10.81196581,59.18803419,-0.6130239521,0.5183383234,1.814184132,1.934371184,2.93879647,7.853174603,48.43735148,0,0,False
chick_30_45d,30–45 day chick,80,12.5,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3.5,8.75748503,10.81196581,69.18803419,-0.7005988024,0.6059131737,2.120696108,1.255074786,1.237169177,7.309027778,41.95745198,0,2.168404345e-13,False
chick_30_45d,30–45 day chick,90,11.11111111,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3.5,8.75748503,10.81196581,79.18803419,-0.7881736527,0.693488024,2.427208084,0.7267331434,0.4148010199,6.885802469,37.23908501,0,2.168404345e-13,False
chick_30_45d,30–45 day chick,100,10,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3.5,8.75748503,10.81196581,89.18803419,-0.875748503,0.7810628743,2.73372006,0.3040598291,0.07261192918,6.547222222,33.666971,0,-2.168404345e-13,False
chick_30_45d,30–45 day chick,110,9.090909091,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3.5,8.75748503,10.81196581,99.18803419,-0.9633233533,0.8686377246,3.040232036,0,0,6.27020202,30.87826917,20.11601796,-2.168404345e-13,True
chick_30_45d,30–45 day chick,120,8.333333333,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8,125,3.5,8.75748503,10.81196581,109.1880342,-1.050898204,0.9562125749,3.346744012,0,0,6.039351852,28.64643259,173.372006,-2.168404345e-13,True
chick_30_45d,30–45 day chick,60,16.66666667,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8.5,117.6470588,3.5,8.75748503,3.459024635,56.54097536,-0.5254491018,0.4951567453,1.733048609,2.411178146,4.566132177,9.007625272,63.72509665,0,-2.168404345e-13,False
chick_30_45d,30–45 day chick,70,14.28571429,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8.5,117.6470588,3.5,8.75748503,3.459024635,66.54097536,-0.6130239521,0.5827315956,2.039560585,1.566724126,1.927857563,8.220821662,53.07870705,0,0,False
chick_30_45d,30–45 day chick,80,12.5,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8.5,117.6470588,3.5,8.75748503,3.459024635,76.54097536,-0.7005988024,0.6703064459,2.346072561,0.9333836099,0.684242778,7.630718954,45.73206354,0,0,False
chick_30_45d,30–45 day chick,90,11.11111111,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8.5,117.6470588,3.5,8.75748503,3.459024635,86.54097536,-0.7881736527,0.7578812962,2.652584537,0.440785431,0.1525964199,7.171750182,40.39616966,0,0,False
chick_30_45d,30–45 day chick,100,10,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8.5,117.6470588,3.5,8.75748503,3.459024635,96.54097536,-0.875748503,0.8454561465,2.959096513,0.04670688788,0.001713372307,6.804575163,36.36569673,0,0,False
chick_30_45d,30–45 day chick,110,9.090909091,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8.5,117.6470588,3.5,8.75748503,3.459024635,106.5409754,-0.9633233533,0.9330309968,3.265608489,0,0,6.504159239,33.22555256,132.8042445,0,True
chick_30_45d,30–45 day chick,120,8.333333333,3,11.7,1.336,0,fixed_focal_object_distance_source_sizing,8.5,117.6470588,3.5,8.75748503,3.459024635,116.5409754,-1.050898204,1.020605847,3.572120465,0,0,6.253812636,30.71705764,286.0602325,2.168404345e-13,True
child_6y,6-year-old child,60,16.66666667,6,23,1.336,0,fixed_focal_object_distance_source_sizing,13.5,74.07407407,5,17.21556886,15.98711755,44.01288245,-1.032934132,0.7577068086,3.788534043,2.140955448,3.600021889,9.476435856,70.53098288,0,0,False
child_6y,6-year-old child,70,14.28571429,6,23,1.336,0,fixed_focal_object_distance_source_sizing,13.5,74.07407407,5,17.21556886,15.98711755,54.01288245,-1.20508982,0.9298624972,4.649312486,1.120818956,0.9866447649,8.83694502,61.33299708,0,0,False
child_6y,6-year-old child,80,12.5,6,23,1.336,0,fixed_focal_object_distance_source_sizing,13.5,74.07407407,5,17.21556886,15.98711755,64.01288245,-1.377245509,1.102018186,5.510090929,0.3557165862,0.09937979871,8.357326892,54.85606622,0,0,False
child_6y,6-year-old child,90,11.11111111,6,23,1.336,0,fixed_focal_object_distance_source_sizing,13.5,74.07407407,5,17.21556886,15.98711755,74.01288245,-1.549401198,1.274173874,6.370869372,0,0,7.984290571,50.06826577,185.4346862,-4.33680869e-13,True
child_6y,6-year-old child,100,10,6,23,1.336,0,fixed_focal_object_distance_source_sizing,13.5,74.07407407,5,17.21556886,15.98711755,84.01288245,-1.721556886,1.446329563,7.231647815,0,0,7.685861514,46.39540725,615.8239077,4.33680869e-13,True
child_6y,6-year-old child,110,9.090909091,6,23,1.336,0,fixed_focal_object_distance_source_sizing,13.5,74.07407407,5,17.21556886,15.98711755,94.01288245,-1.893712575,1.618485252,8.092426259,0,0,7.441692285,43.4943953,1046.213129,0,True
