eye_id,eye_label,source_demand_D,source_distance_mm,external_lens_D,accommodation_D,eye_power_D,angular_diameter_rad,angular_diameter_deg,feasible_accommodation
chick_30_45d,30–45 day chick,0,inf,0,0,119.04762,0.35714286,20.462778,True
chick_30_45d,30–45 day chick,0,inf,-1,0.99502488,120.04264,0.35892857,20.565092,True
chick_30_45d,30–45 day chick,0,inf,-3,2.955665,122.00328,0.3625,20.76972,True
chick_30_45d,30–45 day chick,0,inf,-5,4.8780488,123.92567,0.36607143,20.974348,True
chick_30_45d,30–45 day chick,0,inf,-10,9.5238095,128.57143,0.375,21.485917,True
chick_30_45d,30–45 day chick,0,inf,-15,13.953488,133.00111,0.38392857,21.997487,True
chick_30_45d,30–45 day chick,0,inf,-20,18.181818,137.22944,0.39285714,22.509056,False
child_6y,6-year-old child,0,inf,0,0,59.88024,0.35928144,20.58531,True
child_6y,6-year-old child,0,inf,-1,0.98814229,60.868382,0.36359281,20.832334,True
child_6y,6-year-old child,0,inf,-3,2.8957529,62.775992,0.37221557,21.326381,True
child_6y,6-year-old child,0,inf,-5,4.7169811,64.597221,0.38083832,21.820429,True
child_6y,6-year-old child,0,inf,-10,8.9285714,68.808811,0.40239521,23.055547,True
child_6y,6-year-old child,0,inf,-15,12.711864,72.592104,0.4239521,24.290666,True
child_6y,6-year-old child,0,inf,-20,16.129032,76.009272,0.44550898,25.525784,True
adult_18y,18-year-old adult,0,inf,0,0,59.88024,0.35928144,20.58531,True
adult_18y,18-year-old adult,0,inf,-1,0.98814229,60.868382,0.36359281,20.832334,True
adult_18y,18-year-old adult,0,inf,-3,2.8957529,62.775992,0.37221557,21.326381,True
adult_18y,18-year-old adult,0,inf,-5,4.7169811,64.597221,0.38083832,21.820429,True
adult_18y,18-year-old adult,0,inf,-10,8.9285714,68.808811,0.40239521,23.055547,True
adult_18y,18-year-old adult,0,inf,-15,12.711864,72.592104,0.4239521,24.290666,True
adult_18y,18-year-old adult,0,inf,-20,16.129032,76.009272,0.44550898,25.525784,True
